id;partida_id;clube;cartao;atleta;posicao;minuto
1;4987;Chapecoense;Amarelo;Rafael Lima;Zagueiro;73
2;4987;Coritiba;Amarelo;Leandro Almeida;Zagueiro;29
3;4988;Palmeiras;Amarelo;Gabriel Girotto Franco;Meio-campo;22
4;4988;Atletico-MG;Amarelo;JosuÇ Anunciado de Oliveira;Meio-campo;75
5;4988;Atletico-MG;Amarelo;Jì;Atacante;23
6;4989;Fluminense;Amarelo;Wagner Ferreira dos Santos;;73
7;4987;Chapecoense;Amarelo;Bruno CÇsar Pereira da Silva;;82
8;4987;Coritiba;Amarelo;HÇlder;Meio-campo;70
9;4988;Palmeiras;Amarelo;R¢bson Michael Signorini;Meio-campo;51
10;4988;Atletico-MG;Amarelo;Pedro Botelho;Zagueiro;90+6
11;4988;Atletico-MG;Amarelo;Patric Cabral Lalau;Zagueiro;30
12;4989;Fluminense;Amarelo;Vin°cius;;80
13;4989;Joinville;Amarelo;Marinaldo dos Santos Oliveira;Meio-campo;13
14;4989;Joinville;Vermelho;Marinaldo dos Santos Oliveira;Meio-campo;24
15;4990;Gremio;Amarelo;Walace;Meio-campo;67
16;4990;Gremio;Amarelo;Rafael Galhardo;Zagueiro;30
17;4990;Ponte Preta;Amarelo;Josimar;Meio-campo;69
18;4990;Ponte Preta;Amarelo;Rildo de Andrade Felicissimo;Atacante;29
19;4991;Athletico-PR;Amarelo;Carlos Eduardo Santos Oliveira;Zagueiro;57
20;4991;Internacional;Amarelo;Adniellyson da Silva Oliveira;Meio-campo;62
21;4992;Sao Paulo;Amarelo;Hudson;Meio-campo;30
22;4993;Cruzeiro;Amarelo;Willians Domingos Fernandes;Meio-campo;59
23;4993;Cruzeiro;Amarelo;Gabriel Xavier;Meio-campo;20
24;4994;Sport;Amarelo;RÇgis;;84
25;4994;Figueirense;Amarelo;Marquinhos Pedroso;Zagueiro;40
26;4995;Avai;Amarelo;Eltinho;Zagueiro;90+5
27;4995;Santos;Amarelo;Neuciano Gusm∆o;;87
28;4996;Vasco;Amarelo;Christianno;Zagueiro;68
29;4996;Vasco;Amarelo;Dagoberto Pelentier;Meio-campo;33
30;4996;Goias;Amarelo;Rafael Forster;Zagueiro;83
31;4996;Goias;Amarelo;Ygor Maciel Santiago;Meio-campo;40
32;4990;Ponte Preta;Vermelho;Tiago dos Santos Alves;Zagueiro;89
33;4995;Santos;Vermelho;Gustavo Henrique Vernes;;90+4
34;4990;Gremio;Amarelo;Yuri Mamute;Atacante;55
35;4990;Ponte Preta;Amarelo;Renato Caj†;Meio-campo;72
36;4990;Ponte Preta;Amarelo;Tiago dos Santos Alves;Zagueiro;49
37;4990;Ponte Preta;Amarelo;Biro-Biro;Atacante;9
38;4991;Internacional;Amarelo;Alan Ruschel;Zagueiro;90
39;4992;Sao Paulo;Amarelo;Paulo Henrique Ganso;;48
40;4992;Flamengo;Amarelo;Lucas Mugni;;76
41;4993;Cruzeiro;Amarelo;Charles Fernando Bas°lio da Silva;Meio-campo;31
42;4993;Corinthians;Amarelo;Ed°lson Mendes Guimar∆es;Zagueiro;7
43;4994;Figueirense;Amarelo;Nirley da Silva Fonseca;Zagueiro;60
44;4994;Figueirense;Amarelo;Bruno Alves;Zagueiro;22
45;4995;Avai;Amarelo;Anderson Lopes;Atacante;72
46;4995;Santos;Amarelo;Gustavo Henrique Vernes;;63
47;4996;Vasco;Amarelo;Luan Garcia Teixeira;Zagueiro;38
48;4996;Goias;Amarelo;Alex Alves Cardoso;Zagueiro;89
49;4996;Goias;Amarelo;Felipe Macedo;Zagueiro;52
50;4996;Goias;Amarelo;Wesley;Atacante;32
51;4994;Figueirense;Vermelho;Bruno Alves;Zagueiro;77
52;4997;Goias;Amarelo;Wiliam Kozlowski;;76
53;4997;Athletico-PR;Amarelo;Kadu;Zagueiro;34
54;4998;Coritiba;Amarelo;Ruy Franco de Almeida Junior;Meio-campo;6
55;4998;Gremio;Amarelo;Maicon;Meio-campo;51
56;4999;Corinthians;Amarelo;Emerson Sheik;;83
