Id;partida_id;clube;chutes;posse_de_bola;passes;precisao_passes;faltas;impedimentos;escanteios
1;4987;Chapecoense;13;45;326;;20;3;3
2;4987;Coritiba;16;55;388;;21;0;5
3;4988;Palmeiras;17;5;406;;20;2;11
4;4988;Atletico-MG;10;5;426;;14;4;2
5;4989;Fluminense;26;74;702;;9;1;5
6;4989;Joinville;3;26;250;;14;1;3
7;4990;Gremio;11;45;401;;17;2;5
8;4990;Ponte Preta;17;55;473;;21;0;10
9;4991;Athletico-PR;10;39;335;;17;1;2
10;4991;Internacional;17;61;502;;17;1;11
11;4992;Sao Paulo;19;54;502;;17;1;4
12;4992;Flamengo;12;46;430;;12;6;6
13;4993;Cruzeiro;13;56;487;;17;4;2
14;4993;Corinthians;11;44;391;;15;2;4
15;4994;Sport;17;54;449;;17;0;7
16;4994;Figueirense;7;46;391;;14;3;1
17;4995;Avai;16;51;462;;10;2;4
18;4995;Santos;8;49;452;;11;2;3
19;4996;Vasco;11;62;439;;16;0;4
20;4996;Goias;5;38;279;;27;2;2
21;4997;Goias;13;41;334;;14;0;6
22;4997;Athletico-PR;8;59;477;;18;1;5
23;4998;Coritiba;9;43;353;;22;3;2
24;4998;Gremio;10;57;456;;13;4;4
25;4999;Corinthians;13;46;437;;16;1;7
26;4999;Chapecoense;11;54;487;;13;5;2
27;5000;Figueirense;12;47;381;;18;3;6
28;5000;Vasco;14;53;436;;13;0;7
29;5001;Atletico-MG;16;54;466;;17;1;7
30;5001;Fluminense;8;46;411;;9;2;0
31;5002;Flamengo;18;59;492;;10;6;13
32;5002;Sport;14;41;373;;7;1;3
33;5003;Santos;20;44;351;;18;2;15
34;5003;Cruzeiro;7;56;445;;13;5;3
35;5004;Joinville;8;39;377;;17;5;1
36;5004;Palmeiras;11;61;589;;12;3;5
37;5005;Ponte Preta;19;4;373;;15;5;6
38;5005;Sao Paulo;10;6;549;;14;1;4
39;5006;Internacional;8;57;451;;17;2;4
40;5006;Avai;6;43;345;;26;4;9
41;5007;Sao Paulo;16;63;642;;12;3;5
42;5007;Joinville;7;37;380;;11;1;0
43;5008;Vasco;13;61;466;;15;1;8
44;5008;Internacional;7;39;312;;16;0;1
45;5009;Gremio;19;63;536;;16;1;11
46;5009;Figueirense;5;37;326;;24;1;4
47;5010;Palmeiras;21;74;445;;13;5;13
48;5010;Goias;7;26;171;;24;1;6
49;5011;Chapecoense;13;4;307;;13;3;4
50;5011;Santos;15;6;462;;20;3;5
51;5012;Athletico-PR;11;36;324;;7;4;2
52;5012;Atletico-MG;16;64;537;;8;3;9
53;5013;Fluminense;15;42;355;;19;2;9
54;5013;Corinthians;7;58;500;;6;3;6
55;5014;Avai;13;43;338;;15;0;4
