Id;partida_id;clube;atleta;minuto;tipo_de_gol
1;4987;Coritiba;Rafhael Lucas;3;
2;4987;Chapecoense;Roger Rodrigues da Silva;66;
3;4987;Chapecoense;Elicarlos;30;
4;4988;Palmeiras;Vitor Hugo Franchescoli de Souza;82;
5;4988;Atletico-MG;Jì;86;
6;4988;Atletico-MG;Patric Cabral Lalau;51;
7;4988;Palmeiras;Rafael Marques Mariano;90+5;
8;4989;Fluminense;Vin°cius;88;
9;4990;Ponte Preta;Renato Caj†;62;
10;4990;Gremio;Mat°as Rodr°guez;78;
11;4990;Ponte Preta;Diego Oliveira;90+4;
12;4990;Gremio;Yuri Mamute;54;
13;4990;Ponte Preta;Rildo de Andrade Felicissimo;64;
14;4990;Gremio;Yuri Mamute;25;
15;4991;Athletico-PR;Felipe de Oliveira Silva;66;Penalty
16;4991;Athletico-PR;Paulo Marcos de Jesus Ribeiro;69;Gol Contra
17;4991;Athletico-PR;Walter Henrique da Silva;14;
18;4992;Sao Paulo;Lu°s Fabiano;74;
19;4992;Flamengo;êverton Cardoso da Silva;86;Penalty
20;4992;Sao Paulo;Alexandre Pato;80;
21;4993;Corinthians;µngel Romero;82;
22;4994;Figueirense;Renà Rodrigues Martins;68;Gol Contra
23;4994;Sport;RÇgis;88;
24;4994;Sport;Diego Souza;78;Penalty
25;4994;Sport;Matheus Ferraz Pereira;20;
26;4994;Sport;Diego Souza;64;Penalty
27;4995;Santos;Robinho;27;
28;4995;Avai;Marquinhos Santos;64;
29;4997;Goias;Bruno Henrique;81;
30;4997;Goias;Bruno Henrique;55;
31;4998;Coritiba;Frickson Erazo;34;Gol Contra
32;4998;Coritiba;Thiago Galhardo;27;
33;4999;Corinthians;F†bio Santos;28;
34;5001;Atletico-MG;Jemerson de Jesus Nascimento;37;
35;5001;Fluminense;Fred;89;Penalty
36;5001;Atletico-MG;Jemerson de Jesus Nascimento;7;
37;5001;Atletico-MG;Luan Madson Gede∆o de Paiva;81;
38;5001;Atletico-MG;Jes£s D†tolo;53;
39;5002;Flamengo;êverton Cardoso da Silva;90+6;
40;5002;Flamengo;HÇctor Canteros;74;
41;5002;Sport;JosÇ êlber Pimentel da Silva;69;
42;5002;Sport;Diego Souza;45+2;Penalty
43;5003;Santos;GeuvÉnio;45;
44;5005;Ponte Preta;Renato Caj†;14;
45;5006;Internacional;Victor Vin°cius Coelho Santos;63;
46;5007;Sao Paulo;Alexandre Pato;86;
47;5007;Sao Paulo;Michel Bastos;58;
48;5007;Sao Paulo;Matheus D¢ria Macedo;11;
49;5008;Vasco;Lucas Santos Siqueira;81;
50;5008;Internacional;Nilmar;45+1;
51;5009;Gremio;Braian Rodr°guez;78;
52;5010;Goias;Victor Ramos;76;Gol Contra
53;5011;Chapecoense;Apodi;21;
54;5012;Athletico-PR;Douglas Coutinho;40;
55;5014;Flamengo;Gabriel Santana;51;
56;5014;Avai;Hugo da Silva Cabral;62;
57;5014;Avai;Hugo da Silva Cabral;47;
58;5015;Cruzeiro;Charles Fernando Bas°lio da Silva;82;
59;5015;Ponte Preta;Biro-Biro;85;
60;5016;Sport;Neto;29;
61;5017;Ponte Preta;Biro-Biro;48;
62;5017;Ponte Preta;Tiago dos Santos Alves;6;
63;5017;Chapecoense;JosÇ Gildeixon Clemente de Paiva;89;
64;5017;Ponte Preta;Renato Caj†;90+3;
65;5018;Avai;Anderson Lopes;1;
66;5018;Coritiba;Paulinho Moccelin;50;
67;5018;Avai;Roberto CÇsar Zardin Rodrigues;79;
68;5019;Athletico-PR;Douglas Coutinho;33;
69;5019;Athletico-PR;Nik∆o;30;
70;5019;Joinville;Rafael Costa;65;
71;5020;Sport;Samuel Xavier;90+3;
72;5020;Sport;Joelinton Cassio Apolin†rio de Lira;51;
73;5020;Santos;Werley Ananias da Silva;70;
74;5020;Santos;Robinho;43;
75;5021;Gremio;Giuliano Victor de Paula;36;
76;5021;Goias;Rodrigo Vasconcelos Oliveira;52;
77;5022;Atletico-MG;Thiago Ribeiro;44;
78;5022;Atletico-MG;Thiago Ribeiro;12;
79;5022;Atletico-MG;Jes£s D†tolo;20;
80;5023;Palmeiras;ZÇ Roberto;45+2;
81;5023;Palmeiras;Rafael Marques Mariano;25;
82;5025;Flamengo;Alecsandro;37;
83;5025;Fluminense;Marcos RogÇrio Ricci Lopes;33;Gol Contra
84;5025;Fluminense;Fred;46;
85;5025;Fluminense;Fred;8;Penalty
86;5025;Flamengo;Eduardo da Silva;86;
87;5026;Figueirense;Carlos Alberto Gomes de Jesus;50;
88;5026;Figueirense;Marcos Roberto da Silva Barbosa;36;
89;5026;Cruzeiro;Henrique Pacheco Lima;41;
90;5027;Athletico-PR;Nik∆o;20;
91;5028;Ponte Preta;Tiago dos Santos Alves;39;
92;5028;Ponte Preta;Diego Oliveira;1;
93;5028;Ponte Preta;Borges;78;
94;5029;Chapecoense;Bruno CÇsar Pereira da Silva;29;
95;5029;Chapecoense;Ananias El¢i Castro Monteiro;11;
96;5030;Sao Paulo;Michel Bastos;33;
