partida_id;rodada;data;hora;mandante;visitante;tecnico_mandante;tecnico_visitante;vencedor;arena;mandante_placar;visitante_placar;mandante_estado;visitante_estado
4987;1;09/05/2015;18:32:00;Chapecoense;Coritiba;V. Eutr¢pio;M. dos Santos Gon‡alves;Chapecoense;Arena Cond ;2;1;SC;PR
4988;1;09/05/2015;18:33:00;Palmeiras;Atletico-MG;O. de Oliveira Filho;L. Culpi;-;Allianz Parque;2;2;SP;MG
4989;1;09/05/2015;21:00:00;Fluminense;Joinville;S. Drubscky de Campos;H. Maria;Fluminense;ÿMaracanÆ;1;0;RJ;SC
4990;1;10/05/2015;11:00:00;Gremio;Ponte Preta;L. Scolari;A. Ferreira;-;Arena do Grˆmio;3;3;RS;SP
4991;1;10/05/2015;16:00:00;Athletico-PR;Internacional;M. Mendes;D. Aguirre Camblor;Athletico-PR;Est dio Joaquim Am‚rico GuimarÆes;3;0;PR;RS
4992;1;10/05/2015;16:02:00;Sao Paulo;Flamengo;M. Cruz;V. Luxemburgo da Silva;Sao Paulo;ÿMorumbi;2;1;SP;RJ
4993;1;10/05/2015;15:59:00;Cruzeiro;Corinthians;M. de Oliveira Santos;A. Bacchi;Corinthians;Arena Pantanal;0;1;MG;SP
4994;1;10/05/2015;15:59:00;Sport;Figueirense;E. Baptista;A. Fucks;Sport;Adelmar da Costa Carvalho;4;1;PE;SC
4995;1;10/05/2015;18:34:00;Avai;Santos;G. Kleina;M. Fernandes;-;ÿ Ressacada;1;1;SC;SP
4996;1;10/05/2015;18:29:00;Vasco;Goias;D. Ghidoni Junior;H. Pinto dos Anjos;-;Est dio Vasco da Gama;0;0;RJ;GO
4997;2;16/05/2015;18:29:00;Goias;Athletico-PR;H. Pinto dos Anjos;M. Mendes;Goias;Est dio do Governo do Estado de Goi s (Serra Dourada);2;0;GO;PR
4998;2;16/05/2015;18:33:00;Coritiba;Gremio;M. dos Santos Gon‡alves;L. Scolari;Coritiba;ÿCouto Pereira;2;0;PR;RS
4999;2;16/05/2015;21:02:00;Corinthians;Chapecoense;A. Bacchi;V. Eutr¢pio;Corinthians;Est dio Doutor Adhemar de Barros;1;0;SP;SC
